Locality,Census,Estimates Base,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
".Spotsylvania County, Virginia","122,397","122,453","122,976","124,537","125,827","127,392","128,804","129,948","131,252","132,739","134,011","136,215"
".Stafford County, Virginia","128,961","128,984","129,832","132,200","133,368","135,923","138,791","140,868","143,501","146,792","149,824","152,882"
".Surry County, Virginia","7,058","7,064","7,044","6,921","6,839","6,787","6,780","6,671","6,554","6,503","6,463","6,422"
".Sussex County, Virginia","12,087","12,070","12,011","12,086","11,924","11,766","11,723","11,692","11,414","11,379","11,241","11,159"
".Tazewell County, Virginia","45,078","45,058","45,117","44,730","44,264","44,017","43,379","42,905","42,155","41,303","41,058","40,595"
".Warren County, Virginia","37,575","37,450","37,518","37,646","37,887","38,500","40,126","38,716","39,165","39,409","40,006","40,164"
".Washington County, Virginia","54,876","54,961","54,967","54,831","55,095","54,776","54,603","54,268","54,100","54,179","54,067","53,740"
".Westmoreland County, Virginia","17,454","17,460","17,489","17,635","17,513","17,552","17,436","17,549","17,649","17,725","17,817","18,015"
".Wise County, Virginia","41,452","41,437","41,572","41,454","40,909","40,662","39,892","39,572","39,027","38,574","37,875","37,383"
".Wythe County, Virginia","29,235","29,246","29,252","29,202","29,328","29,282","29,055","29,097","28,912","28,829","28,698","28,684"
".York County, Virginia","65,464","65,191","65,222","65,772","65,825","65,980","66,523","67,802","67,832","68,022","67,976","68,280"
".Alexandria city, Virginia","139,966","139,998","140,729","144,219","147,291","149,637","151,375","153,654","156,698","159,215","159,069","159,428"
".Bristol city, Virginia","17,835","17,738","17,766","17,717","17,692","17,386","17,191","17,146","17,088","16,880","16,685","16,762"
".Buena Vista city, Virginia","6,650","6,607","6,611","6,711","6,747","6,652","6,549","6,529","6,435","6,482","6,494","6,478"
".Charlottesville city, Virginia","43,475","43,425","43,461","43,761","44,580","45,012","45,518","46,301","46,943","47,463","47,506","47,266"
".Chesapeake city, Virginia","222,209","222,311","223,556","225,361","228,091","230,327","233,360","235,111","237,464","240,143","242,359","244,835"
".Colonial Heights city, Virginia","17,411","17,410","17,339","17,284","17,383","17,487","17,442","17,444","17,398","17,424","17,504","17,370"
".Covington city, Virginia","5,961","5,951","5,940","5,914","5,842","5,827","5,772","5,663","5,637","5,576","5,578","5,538"
".Danville city, Virginia","43,055","43,071","42,924","42,645","42,705","42,623","42,263","41,947","41,665","41,044","40,649","40,044"
".Emporia city, Virginia","5,927","5,925","5,921","5,841","5,813","5,693","5,597","5,558","5,478","5,467","5,363","5,346"
".Fairfax city, Virginia","22,565","22,554","22,614","22,460","22,894","23,230","23,310","23,230","23,246","23,435","23,725","24,019"
".Falls Church city, Virginia","12,332","12,244","12,399","12,660","13,087","13,360","13,416","13,728","13,582","14,245","14,467","14,617"
".Franklin city, Virginia","8,582","8,578","8,579","8,445","8,482","8,536","8,392","8,331","8,201","8,145","8,089","7,967"
".Fredericksburg city, Virginia","24,286","24,178","24,354","25,752","27,179","27,818","28,256","28,043","28,360","28,498","29,171","29,036"
".Galax city, Virginia","7,042","6,989","6,991","6,846","6,852","6,931","6,899","6,800","6,604","6,484","6,348","6,347"
".Hampton city, Virginia","137,436","137,464","137,415","136,628","137,177","137,332","137,680","136,264","135,374","134,725","134,330","134,510"
".Harrisonburg city, Virginia","48,914","48,900","48,993","49,935","51,312","51,537","52,542","52,675","53,542","53,644","53,488","53,016"
".Hopewell city, Virginia","22,591","22,591","22,642","22,502","22,309","22,161","22,109","22,231","22,539","22,505","22,478","22,529"
".Lexington city, Virginia","7,042","7,037","7,043","6,972","7,018","7,146","7,125","7,162","7,148","7,154","7,297","7,446"
".Lynchburg city, Virginia","75,568","75,534","75,548","76,584","77,269","77,940","78,141","79,134","79,710","80,523","81,309","82,168"
".Manassas city, Virginia","37,821","37,799","38,212","39,101","40,284","41,082","41,142","41,409","41,189","41,141","41,046","41,085"
".Manassas Park city, Virginia","14,273","14,243","14,449","15,067","15,397","15,896","15,916","16,129","16,456","17,149","17,718","17,478"
".Martinsville city, Virginia","13,821","13,814","13,760","13,596","13,492","13,416","13,317","13,259","12,996","12,823","12,627","12,554"
".Newport News city, Virginia","180,719","180,955","180,888","180,078","180,056","181,275","181,522","180,958","180,209","179,447","178,523","179,225"
".Norfolk city, Virginia","242,803","242,827","242,999","243,655","246,149","245,468","246,576","246,457","245,680","244,543","243,585","242,742"
".Norton city, Virginia","3,958","3,993","4,012","4,087","4,124","4,099","4,135","4,009","3,972","3,918","3,972","3,981"
".Petersburg city, Virginia","32,420","32,441","32,502","32,091","31,996","32,311","32,241","31,892","31,380","31,137","31,056","31,346"
".Poquoson city, Virginia","12,150","12,159","12,148","12,042","12,114","12,094","12,009","12,021","11,952","12,039","12,169","12,271"
".Portsmouth city, Virginia","95,535","95,526","95,451","95,748","96,480","96,075","95,829","96,336","95,165","94,838","94,750","94,398"
".Radford city, Virginia","16,408","16,395","16,430","16,814","16,714","17,117","17,392","17,295","17,324","17,484","18,101","18,249"
".Richmond city, Virginia","204,214","204,375","204,302","206,391","210,794","213,860","217,044","220,856","225,369","227,230","229,221","230,436"
".Roanoke city, Virginia","97,032","96,910","96,720","96,782","98,011","98,849","99,427","99,669","99,337","98,986","99,009","99,143"
".Salem city, Virginia","24,802","24,836","24,895","25,026","25,179","25,317","25,428","25,364","25,252","25,373","25,293","25,301"
".Staunton city, Virginia","23,746","23,745","23,737","24,023","23,809","24,101","24,283","24,185","24,156","24,325","24,562","24,932"
".Suffolk city, Virginia","84,585","84,565","84,813","84,750","85,251","85,751","86,882","88,079","89,194","90,108","90,975","92,108"
".Virginia Beach city, Virginia","437,994","437,903","438,859","442,583","445,044","447,706","448,864","450,304","450,983","449,896","449,849","449,974"
".Waynesboro city, Virginia","21,006","20,998","20,993","21,103","21,066","21,167","21,305","21,542","21,757","22,242","22,531","22,630"
".Williamsburg city, Virginia","14,068","13,700","13,727","14,109","14,526","14,617","14,580","14,800","14,884","14,994","15,002","14,954"
".Winchester city, Virginia","26,203","26,223","26,150","26,660","27,008","27,321","27,382","27,480","27,785","28,178","27,962","28,078"
