Report Date,FIPS,Locality,VDH Health District,Total Cases,Hospitalizations,Deaths
10/13/2020,51183,Sussex,Crater,633,29,12
10/13/2020,51185,Tazewell,Cumberland Plateau,383,18,2
10/13/2020,51187,Warren,Lord Fairfax,493,34,13
10/13/2020,51191,Washington,Mount Rogers,742,72,21
10/13/2020,51193,Westmoreland,Three Rivers,306,25,4
10/13/2020,51195,Wise,Lenowisco,494,35,9
10/13/2020,51197,Wythe,Mount Rogers,285,26,6
10/13/2020,51199,York,Peninsula,592,17,9
10/13/2020,51510,Alexandria,Alexandria,4045,323,73
10/13/2020,51520,Bristol,Mount Rogers,216,14,7
10/13/2020,51530,Buena Vista City,Central Shenandoah,108,5,1
10/13/2020,51540,Charlottesville,Thomas Jefferson,1467,33,31
10/13/2020,51550,Chesapeake,Chesapeake,4606,451,76
10/13/2020,51570,Colonial Heights,Chesterfield,276,29,26
10/13/2020,51580,Covington,Alleghany,33,1,0
10/13/2020,51590,Danville,Pittsylvania-Danville,1065,100,38
10/13/2020,51595,Emporia,Crater,269,33,26
10/13/2020,51600,Fairfax City,Fairfax,144,13,8
10/13/2020,51610,Falls Church,Fairfax,75,13,7
10/13/2020,51620,Franklin City,Western Tidewater,460,20,10
10/13/2020,51630,Fredericksburg,Rappahannock,568,50,5
10/13/2020,51640,Galax,Mount Rogers,427,41,30
10/13/2020,51650,Hampton,Hampton,1972,74,28
10/13/2020,51660,Harrisonburg,Central Shenandoah,2864,96,35
10/13/2020,51670,Hopewell,Crater,455,35,7
10/13/2020,51678,Lexington,Central Shenandoah,178,3,1
10/13/2020,51680,Lynchburg,Central Virginia,1726,45,21
10/13/2020,51683,Manassas City,Prince William,1998,132,25
10/13/2020,51685,Manassas Park,Prince William,627,56,8
10/13/2020,51690,Martinsville,West Piedmont,435,62,23
10/13/2020,51700,Newport News,Peninsula,2940,111,49
10/13/2020,51710,Norfolk,Norfolk,5085,386,80
10/13/2020,51720,Norton,Lenowisco,42,5,0
10/13/2020,51730,Petersburg,Crater,828,75,29
10/13/2020,51735,Poquoson,Peninsula,83,3,2
10/13/2020,51740,Portsmouth,Portsmouth,2684,294,63
10/13/2020,51750,Radford,New River,780,9,2
10/13/2020,51760,Richmond City,Richmond,4978,436,62
10/13/2020,51770,Roanoke City,Roanoke,2212,83,32
10/13/2020,51775,Salem,Alleghany,382,16,6
10/13/2020,51790,Staunton,Central Shenandoah,325,13,0
10/13/2020,51800,Suffolk,Western Tidewater,2204,128,77
10/13/2020,51810,Virginia Beach,Virginia Beach,7351,406,97
10/13/2020,51820,Waynesboro,Central Shenandoah,336,10,3
10/13/2020,51830,Williamsburg,Peninsula,204,13,8
10/13/2020,51840,Winchester,Lord Fairfax,538,39,4
10/14/2020,51001,Accomack,Eastern Shore,1195,92,19
10/14/2020,51003,Albemarle,Thomas Jefferson,1447,84,22
10/14/2020,51005,Alleghany,Alleghany,83,8,4
10/14/2020,51007,Amelia,Piedmont,132,14,5
10/14/2020,51009,Amherst,Central Virginia,497,17,4
10/14/2020,51011,Appomattox,Central Virginia,253,16,4
10/14/2020,51013,Arlington,Arlington,4250,518,152
10/14/2020,51015,Augusta,Central Shenandoah,585,26,8
10/14/2020,51017,Bath,Central Shenandoah,20,1,0
10/14/2020,51019,Bedford,Central Virginia,993,45,15
